Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Powertrain Type
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,104200.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,133050.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,196350.0,ICE
Mercedes-Benz,AMG C63,2022,4.0,503.0,516.0,3.8,69900.0,ICE
Pagani,Huayra BC,2021,6.0,791.0,774.0,2.7,2600000.0,ICE
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102900.0,ICE
Rimac,Nevera,2022,0.0,1914.0,1696.0,1.85,2400000.0,Electric
Rolls-Royce,Wraith,2021,6.7,624.0,605.0,4.4,338000.0,ICE
Tesla,Roadster,2022,0.0,1000.0,7376.0,1.9,200000.0,Electric
Acura,NSX,2022,3.5,573.0,476.0,2.7,157500.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,150000.0,ICE
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,218400.0,ICE
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797.0,707.0,3.5,73000.0,ICE
Jaguar,F-Type R,2022,5.0,575.0,516.0,3.5,103200.0,ICE
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,104970.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,132400.0,ICE
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,101200.0,ICE
Tesla,Roadster,2023,0.0,1000.0,7376.0,1.9,200000.0,Electric
Alpine,A110,2021,1.8,288.0,236.0,4.4,71500.0,ICE
Audi,RS7,2021,4.0,591.0,590.0,3.5,114000.0,ICE
BMW,M4,2021,3.0,473.0,406.0,4.1,71800.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64195.0,ICE
Dodge,Viper,2017,8.4,645.0,600.0,3.3,118795.0,ICE
Ferrari,Portofino,2021,3.9,591.0,560.0,3.5,218750.0,ICE
Jaguar,F-Type,2022,3.0,296.0,295.0,5.4,61600.0,ICE
Lamborghini,Aventador SVJ,2021,6.5,770.0,531.0,2.8,517700.0,ICE
McLaren,600LT,2021,3.8,592.0,457.0,2.8,240000.0,ICE
Aston Martin,DB11,2021,5.2,630.0,516.0,3.5,221400.0,ICE
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,202500.0,ICE
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.4,3000000.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64100.0,ICE
Jaguar,F-Type R,2022,5.0,575.0,516.0,3.5,103200.0,ICE
Koenigsegg,Jesko,2022,5.0,1280.0,1015.0,2.5,2800000.0,ICE
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100450.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,150980.0,ICE
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000.0,ICE
Mercedes-AMG,C 63 S,2022,4.0,503.0,516.0,3.7,81550.0,ICE
Pagani,Huayra,2021,6.0,764.0,738.0,2.8,3500000.0,ICE
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102550.0,ICE
Rimac,C_Two,2022,0.0,1888.0,1696.0,1.8,2400000.0,Electric
Rolls-Royce,Wraith,2021,6.6,624.0,642.0,4.4,330000.0,ICE
Tesla,Roadster,2022,0.0,10000.0,7376.0,1.9,200000.0,Electric
Toyota,Supra,2022,3.0,382.0,368.0,3.9,43090.0,ICE
Acura,NSX,2021,3.5,573.0,476.0,2.7,157500.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,146000.0,ICE
Bentley,Continental GT,2022,4.0,542.0,568.0,3.9,207825.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64195.0,ICE
Jaguar,F-Type,2022,3.0,380.0,339.0,4.8,62250.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92000.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000.0,ICE
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.7,134300.0,ICE
McLaren,570S,2022,3.8,562.0,443.0,2.9,204550.0,ICE
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102000.0,ICE
Tesla,Model S Plaid,2021,0.0,1020.0,1050.0,1.9,141190.0,Electric
Audi,RS 5,2021,2.9,444.0,443.0,3.5,75100.0,ICE
BMW,M2 Competition,2022,3.0,405.0,406.0,4.0,59895.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64995.0,ICE
Dodge,Viper ACR,2017,8.4,645.0,600.0,3.3,126190.0,ICE
Ford,GT,2021,3.5,660.0,550.0,2.9,500000.0,ICE
Porsche,Taycan 4S,2022,2.5,482.0,472.0,3.8,102900.0,ICE
Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417650.0,ICE
Aston Martin,DB11,2021,5.2,630.0,516.0,3.5,205000.0,ICE
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443.0,3.8,81250.0,ICE
Audi,RS7 Sportback,2022,4.0,591.0,590.0,3.5,115045.0,ICE
BMW,M4 Competition,2021,3.0,503.0,479.0,3.9,75695.0,ICE
Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.1,42000.0,ICE
Dodge,Charger Hellcat,2021,6.2,717.0,650.0,3.6,71490.0,ICE
Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.9,274280.0,ICE
Ford,GT,2021,3.5,660.0,550.0,2.8,500000.0,ICE
Jaguar,F-Type R,2021,5.0,575.0,516.0,3.5,103200.0,ICE
Koenigsegg,Jesko Absolut,2022,5.0,1600.0,1106.0,2.1,2800000.0,ICE
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,93050.0,ICE
Lotus,Evija,2022,0.0,1973.0,1254.0,2.5,2750000.0,Electric
McLaren,GT,2022,4.0,612.0,465.0,3.2,210000.0,ICE
Mercedes-Benz,AMG GT Black Series,2021,4.0,720.0,590.0,3.2,326050.0,ICE
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102500.0,ICE
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,417650.0,ICE
Ferrari,Portofino,2021,3.9,591.0,560.0,3.3,218750.0,ICE
Audi,TT RS,2022,2.5,394.0,354.0,3.6,69000.0,ICE
McLaren,600LT Spider,2021,3.8,592.0,457.0,2.8,256500.0,ICE
BMW,M4,2022,3.0,473.0,406.0,4.1,72800.0,ICE
Mercedes-Benz,AMG C 63,2022,4.0,503.0,516.0,3.8,70000.0,ICE
Chevrolet,Camaro SS 1LE,2021,6.2,455.0,455.0,4.0,44500.0,ICE
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.0,51000.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.2,45000.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,146000.0,ICE
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.4,3000000.0,ICE
Koenigsegg,Jesko,2021,5.0,1262.0,1106.0,2.5,3000000.0,ICE
Pagani,Huayra,2021,6.0,764.0,738.0,2.6,2600000.0,ICE
McLaren,Speedtail,2021,4.0,1035.0,848.0,2.5,2300000.0,ICE
Lamborghini,Sián,2021,6.5,819.0,531.0,2.8,3600000.0,ICE
Rimac,C_Two,2021,0.0,1914.0,1732.0,1.8,2400000.0,Electric
Porsche,Cayman,2022,2.0,300.0,280.0,4.9,59900.0,ICE
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,393695.0,ICE
Ferrari,Portofino,2021,3.9,591.0,413.0,3.5,215000.0,ICE
Audi,RS 5,2022,2.9,444.0,443.0,3.7,75100.0,ICE
McLaren,GT,2021,4.0,620.0,465.0,3.1,210000.0,ICE
BMW,Z4 M40i,2022,3.0,382.0,369.0,4.3,63700.0,ICE
Mercedes-Benz,SLC 43,2020,3.0,385.0,384.0,4.6,62000.0,ICE
Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.3,42500.0,ICE
Ford,Mustang GT,2022,5.0,460.0,420.0,4.3,36120.0,ICE
Nissan,370Z Nismo,2020,3.7,350.0,276.0,4.6,45790.0,ICE
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.6,146000.0,ICE
Bentley,Continental GT,2021,4.0,626.0,664.0,3.3,220000.0,ICE
Porsche,718 Boxster,2022,2.0,300.0,280.0,4.9,62000.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,222004.0,ICE
Ferrari,F8 Spider,2021,3.9,710.0,568.0,2.9,280000.0,ICE
Audi,TT RS,2022,2.5,394.0,354.0,3.6,69900.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,2.9,208800.0,ICE
BMW,M4,2022,3.0,473.0,406.0,4.0,72800.0,ICE
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.9,60500.0,ICE
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,393695.0,ICE
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS5,2022,2.9,444.0,443.0,3.7,75100.0,ICE
McLaren,GT,2021,4.0,612.0,465.0,3.2,208800.0,ICE
BMW,M2,2022,3.0,405.0,406.0,4.0,58900.0,ICE
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.6,229000.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,62000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,3.0,500000.0,ICE
Nissan,370Z Nismo,2020,3.7,350.0,276.0,5.2,46200.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.6,71000.0,ICE
Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,308000.0,ICE
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443.0,3.8,80500.0,ICE
Jaguar,F-Type R,2021,5.0,575.0,516.0,3.5,105900.0,ICE
Lotus,Evora GT,2020,3.5,416.0,317.0,3.8,96950.0,ICE
Maserati,GranTurismo,2019,4.7,454.0,384.0,4.7,150980.0,ICE
Porsche,Panamera Turbo S,2022,4.0,630.0,604.0,2.9,180800.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,218000.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,146000.0,ICE
Lotus,Evora,2021,3.5,416.0,317.0,3.8,94000.0,ICE
Alfa Romeo,4C Spider,2020,1.7,237.0,258.0,4.1,67150.0,ICE
Jaguar,F-Type,2022,3.0,380.0,339.0,4.9,70900.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,134300.0,ICE
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,100200.0,ICE
Audi,RS5 Coupe,2022,2.9,444.0,443.0,3.7,76450.0,ICE
BMW,M2 Competition,2021,3.0,405.0,406.0,4.0,58900.0,ICE
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,64000.0,ICE
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,61500.0,ICE
Ford,GT,2021,3.5,647.0,550.0,2.8,500000.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950.0,ICE
McLaren,570S,2022,3.8,562.0,443.0,3.1,198950.0,ICE
Mercedes-AMG,C63 S Coupe,2021,4.0,503.0,516.0,3.7,77950.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.9,45790.0,ICE
Porsche,718 Boxster,2021,2.0,300.0,280.0,4.9,62000.0,ICE
Lamborghini,Aventador S,2021,6.5,729.0,507.0,2.9,417826.0,ICE
Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.9,274280.0,ICE
Audi,TT RS Coupe,2021,2.5,394.0,354.0,3.6,67600.0,ICE
BMW,M4 Coupe,2021,3.0,473.0,406.0,3.8,71800.0,ICE
Acura,NSX,2021,3.5,573.0,476.0,2.7,159495.0,ICE
Aston Martin,DBS Superleggera,2022,5.2,715.0,664.0,3.4,314500.0,ICE
Bentley,Continental GT,2022,6.0,626.0,664.0,3.3,214425.0,ICE
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.3,3000000.0,ICE
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,71490.0,ICE
Jaguar,F-Type,2021,5.0,575.0,516.0,3.5,105900.0,ICE
Koenigsegg,Jesko,2021,5.0,1280.0,1106.0,2.5,2800000.0,ICE
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,104400.0,ICE
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.7,150980.0,ICE
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000.0,ICE
Pagani,Huayra,2021,6.0,764.0,738.0,2.6,2600000.0,ICE
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102000.0,ICE
Rimac,C_Two,2021,0.0,1914.0,1696.0,1.9,2400000.0,Electric
Rolls-Royce,Wraith,2021,6.8,624.0,605.0,4.4,335550.0,ICE
Tesla,Model S Plaid,2021,0.0,1020.0,1050.0,1.9,141990.0,Electric
Toyota,GR Supra,2022,3.0,382.0,368.0,3.9,43090.0,ICE
TVR,Griffith,2021,5.0,500.0,420.0,3.9,157500.0,ICE
Ultima,RS,2021,6.2,1200.0,1300.0,2.3,220000.0,ICE
W Motors,Fenyr SuperSport,2022,3.8,800.0,723.0,2.7,1550000.0,ICE
Acura,NSX,2021,3.5,573.0,476.0,2.9,157500.0,ICE
Aston Martin,DBS Superleggera,2022,5.2,715.0,663.0,3.2,308000.0,ICE
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,202500.0,ICE
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.3,3000000.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,65000.0,ICE
Jaguar,F-Type,2021,3.0,380.0,339.0,4.9,63100.0,ICE
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950.0,ICE
Lotus,Evija,2022,0.0,1973.0,1254.0,2.5,2600000.0,Electric
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,134300.0,ICE
Porsche,Taycan,2021,0.0,616.0,774.0,2.6,185000.0,Electric
Rimac,C_Two,2022,0.0,1914.0,1696.0,1.9,2400000.0,Electric
Tesla,Model S Plaid,2022,0.0,1020.0,1050.0,1.98,140000.0,Electric
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000.0,ICE
Mercedes-Benz,AMG GT Black Series,2021,4.0,720.0,590.0,3.1,325000.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000.0,ICE
Ford,GT,2021,3.5,647.0,550.0,3.0,500000.0,ICE
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.4,307820.0,ICE
Jaguar,F-Type,2022,5.0,575.0,516.0,3.5,103200.0,ICE
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,797.0,707.0,3.5,80190.0,ICE
Lotus,Evora GT,2022,3.5,416.0,317.0,3.8,105000.0,ICE
Alfa Romeo,4C Spider,2020,1.8,237.0,258.0,4.1,68745.0,ICE
Subaru,WRX STI,2022,2.5,310.0,290.0,5.2,38170.0,ICE
Acura,NSX,2022,3.5,573.0,476.0,2.7,157500.0,ICE
Koenigsegg,Jesko,2021,5.0,1280.0,1015.0,2.5,2800000.0,ICE
Tesla,Model S Plaid,2022,0.0,1020.0,1050.0,1.98,139990.0,Electric
Bugatti,Chiron Super Sport 300+,2022,8.0,1578.0,1180.0,2.3,5200000.0,ICE
McLaren,Senna,2020,4.0,789.0,590.0,2.7,1500000.0,ICE
Porsche,Taycan Turbo S,2022,0.0,750.0,774.0,2.6,185000.0,Electric
Mercedes-Benz,SLS AMG Black Series,2014,6.2,622.0,468.0,3.5,275000.0,ICE
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,93050.0,ICE
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,65000.0,ICE
Audi,RS 7 Sportback,2022,4.0,591.0,590.0,3.5,114000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,3.0,500000.0,ICE
BMW,M2 CS,2022,3.0,444.0,406.0,3.8,84595.0,ICE
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102550.0,ICE
Lamborghini,Aventador,2022,6.5,770.0,531.0,2.8,393695.0,ICE
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,146000.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,96950.0,ICE
Porsche,Panamera Turbo S,2021,4.0,620.0,604.0,2.9,180000.0,ICE
Lamborghini,Aventador S,2022,6.5,729.0,507.0,2.9,460247.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS 6 Avant,2022,4.0,591.0,590.0,3.1,110045.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,192500.0,ICE
BMW,M5,2022,4.4,600.0,553.0,3.2,103500.0,ICE
Mercedes-Benz,AMG C 63 S,2021,4.0,503.0,516.0,3.7,77400.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,64195.0,ICE
Ford,GT,2021,3.5,660.0,550.0,3.0,500000.0,ICE
Nissan,370Z Nismo,2020,3.7,350.0,276.0,5.0,46815.0,ICE
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,102550.0,ICE
Audi,TT RS,2021,2.5,394.0,354.0,3.6,67895.0,ICE
Chevrolet,Corvette Z06,2023,5.5,625.0,650.0,2.6,85000.0,ICE
Lamborghini,Urus,2022,4.0,641.0,626.0,3.2,218009.0,ICE
Mercedes-Benz,AMG GT 63 S,2021,4.0,630.0,664.0,3.1,162900.0,ICE
Ferrari,Portofino M,2022,3.9,612.0,560.0,3.5,245000.0,ICE
Bugatti,Chiron,2021,8.0,1479.0,1180.0,2.5,3000000.0,ICE
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.4,304995.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100450.0,ICE
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,100200.0,ICE
Acura,NSX,2021,3.5,573.0,476.0,2.7,157500.0,ICE
Lexus,LC,2021,5.0,471.0,398.0,4.4,92950.0,ICE
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,74750.0,ICE
Audi,RS7,2021,4.0,591.0,590.0,3.5,114000.0,ICE
Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,218400.0,ICE
BMW,M5,2021,4.4,600.0,553.0,3.2,103500.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695.0,ICE
Dodge,Challenger Hellcat,2021,6.2,717.0,656.0,3.5,70595.0,ICE
Ford,GT,2022,3.5,647.0,550.0,3.0,500000.0,ICE
Jaguar,F-Type R,2021,5.0,575.0,516.0,3.5,103200.0,ICE
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,393695.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,203500.0,ICE
Mercedes-Benz,SLS AMG,2015,6.2,583.0,479.0,3.6,221580.0,ICE
Nissan,370Z Nismo,2020,3.7,350.0,276.0,4.7,47190.0,ICE
Porsche,Boxster,2021,2.0,300.0,280.0,4.9,62000.0,ICE
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.9,61500.0,ICE
Lamborghini,Aventador,2021,6.5,759.0,531.0,2.9,393695.0,ICE
Ferrari,Roma,2021,3.9,612.0,561.0,3.3,222630.0,ICE
Audi,RS 5,2022,2.9,444.0,442.0,3.5,75400.0,ICE
McLaren,570S,2020,3.8,562.0,443.0,3.1,208000.0,ICE
BMW,M2,2022,3.0,405.0,406.0,4.2,58900.0,ICE
Mercedes-Benz,SL,2022,3.0,429.0,384.0,4.9,96250.0,ICE
Chevrolet,Camaro,2021,6.2,455.0,455.0,4.0,25000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,3.0,500000.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,45000.0,ICE
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.4,307820.0,ICE
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,100450.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,134300.0,ICE
Porsche,Panamera,2022,2.9,325.0,331.0,5.2,88550.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,218009.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS 6,2022,4.0,591.0,590.0,3.5,109000.0,ICE
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000.0,ICE
Porsche,Taycan 4S,2021,0.0,429.0,472.0,3.8,103800.0,Electric
Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417650.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS 7,2022,4.0,591.0,590.0,3.5,117000.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,3.1,192500.0,ICE
BMW,M4,2021,3.0,473.0,406.0,4.0,72800.0,ICE
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.5,228000.0,ICE
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42000.0,ICE
Ford,GT,2021,3.5,660.0,550.0,3.0,500000.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,48000.0,ICE
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.2,307820.0,ICE
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,93000.0,ICE
Bentley,Continental GT,2021,4.0,626.0,664.0,3.3,202500.0,ICE
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150980.0,ICE
Tesla,Model S Plaid,2022,0.0,1020.0,1050.0,1.98,131190.0,Electric
Rolls-Royce,Dawn,2021,6.6,563.0,605.0,4.3,346300.0,ICE
Bugatti,Chiron Pur Sport,2021,8.0,1500.0,1180.0,2.3,3599000.0,ICE
McLaren,Senna,2019,4.0,789.0,590.0,2.7,1050000.0,ICE
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,690.0,641.0,3.0,186350.0,Hybrid
Acura,NSX,2021,3.5,573.0,476.0,2.7,157500.0,ICE
Aston Martin,DB11,2021,4.0,503.0,498.0,3.7,205600.0,ICE
Audi,RS7,2021,4.0,591.0,590.0,3.5,114000.0,ICE
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,201000.0,ICE
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.5,3000000.0,ICE
Chevrolet,Camaro ZL1,2022,6.2,650.0,650.0,3.5,67000.0,ICE
Dodge,Challenger Hellcat,2021,6.2,717.0,656.0,3.5,64000.0,ICE
Ferrari,812 Superfast,2021,6.5,789.0,530.0,2.8,340000.0,ICE
Lamborghini,Aventador SVJ,2021,6.5,770.0,531.0,2.8,517770.0,ICE
McLaren,600LT Spider,2021,3.8,592.0,457.0,2.8,256500.0,ICE
Mercedes-AMG,GT Black Series,2021,4.0,720.0,590.0,3.1,325000.0,ICE
Nissan,400Z,2023,3.0,400.0,350.0,4.0,40000.0,ICE
Porsche,Cayman GT4,2021,4.0,414.0,309.0,4.2,101000.0,ICE
Rimac,Nevera,2021,0.0,1914.0,1696.0,1.9,2400000.0,Electric
Rolls-Royce,Wraith,2021,6.8,624.0,605.0,4.4,330000.0,ICE
Tesla,Model S Plaid,2021,0.0,1020.0,1050.0,1.9,139990.0,Electric
Toyota,Supra,2021,3.0,382.0,368.0,3.9,43000.0,ICE
Porsche,718 Boxster,2021,2.0,300.0,280.0,4.9,62000.0,ICE
Porsche,718 Boxster,2022,2.0,300.0,280.0,4.9,62000.0,ICE
Lamborghini,Aventador S,2021,6.5,730.0,509.0,2.9,417826.0,ICE
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS 7,2022,4.0,591.0,590.0,3.5,114000.0,ICE
McLaren,Artura,2021,3.0,671.0,531.0,3.0,225000.0,ICE
BMW,M2,2022,3.0,405.0,406.0,4.1,58900.0,ICE
Mercedes-Benz,SLS AMG,2015,6.2,583.0,479.0,3.6,221580.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695.0,ICE
Ford,GT,2022,3.5,647.0,550.0,3.0,500000.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,45000.0,ICE
Dodge,Charger Hellcat,2021,6.2,707.0,650.0,3.6,69995.0,ICE
Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,305000.0,ICE
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,505.0,443.0,3.8,75000.0,ICE
Audi,TT RS,2021,2.5,394.0,354.0,3.6,68000.0,ICE
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,203825.0,ICE
BMW,M5,2022,4.4,600.0,553.0,3.2,103500.0,ICE
Chevrolet,Corvette Stingray,2021,6.2,495.0,470.0,2.9,58900.0,ICE
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,63000.0,ICE
Ford,Mustang GT,2022,5.0,460.0,420.0,4.0,45000.0,ICE
Porsche,Cayman,2022,2.0,300.0,280.0,4.9,59900.0,ICE
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.8,417826.0,ICE
Ferrari,Roma,2022,3.9,612.0,560.0,3.3,222630.0,ICE
Audi,RS7,2022,4.0,591.0,590.0,3.5,114000.0,ICE
McLaren,570S,2021,3.8,562.0,443.0,2.7,204995.0,ICE
BMW,M4,2022,3.0,473.0,406.0,4.1,71800.0,ICE
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.5,243600.0,ICE
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42000.0,ICE
Ford,GT,2022,3.5,660.0,550.0,2.8,500000.0,ICE
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,47190.0,ICE
Porsche,Panamera,2022,2.9,325.0,331.0,5.4,88550.0,ICE
Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,218000.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Audi,RS6,2022,4.0,591.0,590.0,3.5,113000.0,ICE
McLaren,Artura,2021,3.0,671.0,531.0,3.0,225000.0,ICE
BMW,M2,2022,3.0,405.0,406.0,4.0,58900.0,ICE
Mercedes-Benz,GT 63,2021,4.0,577.0,590.0,3.3,161200.0,ICE
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,63000.0,ICE
Aston Martin,DBS Superleggera,2021,5.2,715.0,663.0,3.2,310000.0,ICE
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.4,3000000.0,ICE
Koenigsegg,Jesko,2021,5.0,1280.0,1106.0,2.5,2800000.0,ICE
Pagani,Huayra,2021,6.0,764.0,737.0,3.0,2600000.0,ICE
Rimac,C_Two,2022,0.0,1914.0,1696.0,1.85,2400000.0,Electric
McLaren,Senna,2021,4.0,789.0,590.0,2.7,1000000.0,ICE
Porsche,918 Spyder,2015,4.6,887.0,944.0,2.2,1800000.0,ICE
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000.0,ICE
Lamborghini,Aventador SVJ,2020,6.5,759.0,531.0,2.8,517000.0,ICE
